Genus	Family	Order	Class	Origin	bodysize	FoodPl	FoodAni	FoodFg	FoodDet	GetFood	IngestFood	ActDay	ActNig	ActTwi	Dispersal	
Co57IP	Atheta	Staphylinidae	Coleoptera	Insecta	NON_IND	3	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
He60IH	Rhopalosiphonimus	Aphididae	Hemiptera	Insecta	NON_IND	1.18	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Co61IS	Epuraea	Nitidulidae	Coleoptera	Insecta	NON_IND	2.98	1	0	1	0	GetHact 	IngestCC	1	0	0	Hdsip
Ju62IS	Brachyiulus	Julidae	Julida	Diplopoda	NON_IND	7.53	1	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
Co65IP	Sericoderus	Corylophidae	Coleoptera	Insecta	NON_IND	0.5	0	0	1	0	GetHact 	IngestCC	1	0	0	Hdsip
Co66IP	Amischa	Staphylinidae	Coleoptera	Insecta	NON_IND	3	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Po71IS	Oxidus	Paradoxosomatidae	Polydesmida	Diplopoda	NON_IND	16	0	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
Co72IS	Ptenidium	Ptiliidae	Coleoptera	Insecta	NON_IND	1	0	0	1	0	GetHact 	IngestCC	1	1	1	Hdsip
Co74IPol	Pseudophonus	Carabidae	Coleoptera	Insecta	NON_IND	13	1	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co89IP	Tachyporus	Staphylinidae	Coleoptera	Insecta	NON_IND	3	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ps103IP	Chthonius	Chthoniidae	Pseudoscorpiones	Arachnida	NON_IND	1.61	0	1	0	0	GetHact 	IngestCC	1	1	1	Ldisp
Co108IP	Cryptamorpha	Silvanidae	Coleoptera	Insecta	NON_IND	4	0	0	1	0	GetHact 	IngestCC	0	1	0	Hdsip
Co113IF	Typhaea	Mycetophagidae	Coleoptera	Insecta	NON_IND	2.27	0	0	1	0	GetHact 	IngestCC	1	0	0	Hdsip
Co120IH	Coccotrypes	Curculionidae	Coleoptera	Insecta	NON_IND	2	1	0	0	0	GetHact 	IngestCC	1	1	1	Hdsip
Ps121IS	Ectopsocus	Ectopsocidae	Psocoptera	Insecta	NON_IND	2	1	0	1	0	GetHact 	IngestCC	1	1	1	Hdsip
Or123IS	Gryllus	Gryllidae	Orthoptera	Insecta	NON_IND	32.69	1	1	0	1	GetHact 	IngestCC	1	1	0	Hdsip
Ar127IP	Steatoda	Theridiidae	Araneae	Arachnida	NON_IND	8.25	0	1	0	0	GetLact 	IngestEDS	0	1	0	Hdsip
Th135IH	Nesothrips	Phlaeothripidae	Thysanoptera	Insecta	NON_IND	0.76	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Ar140IP	Ero	Mimetidae	Araneae	Arachnida	NON_IND	2.88	0	1	0	0	GetLact 	IngestEDS	0	1	0	Ldisp
Co143IS	Sphaeridium	Hydrophilidae	Coleoptera	Insecta	NON_IND	4	0	0	0	1	GetHact 	IngestCC	1	1	1	Hdsip
Co145IS	Cryptophagus	Cryptophagidae	Coleoptera	Insecta	NON_IND	1.44	0	0	1	0	GetHact 	IngestCC	1	1	1	Hdsip
Co161IP	Amara	Carabidae	Coleoptera	Insecta	NON_IND	7	1	1	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co193IP	Gabrius	Staphylinidae	Coleoptera	Insecta	NON_IND	5.61	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Po214IS	Brachydesmus	Polydesmidae	Polydesmida	Diplopoda	NON_IND	6.62	0	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
Co225IH	Epitrix	Chrysomelidae	Coleoptera	Insecta	NON_IND	1.85	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co231IS	Carpophilus	Nitidulidae	Coleoptera	Insecta	NON_IND	3.65	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Ar233IP	Oedothorax	Linyphiidae	Araneae	Arachnida	NON_IND	2.75	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ar234IP	Erigone	Linyphiidae	Araneae	Arachnida	NON_IND	2.2	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ar235IP	Pelecopsis	Linyphiidae	Araneae	Arachnida	NON_IND	1.65	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Co237IH	Xyleborinus	Curculionidae	Coleoptera	Insecta	NON_IND	3.14	0	0	1	0	GetHact 	IngestCC	1	1	1	Hdsip
Or245IS	Eumodicogryllus	Gryllidae	Orthoptera	Insecta	NON_IND	10.21	1	0	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ar246IP	Erigone	Linyphiidae	Araneae	Arachnida	NON_IND	2.3	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Co247IP	Aleochara	Staphylinidae	Coleoptera	Insecta	NON_IND	3	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ar249IP	Mermessus	Linyphiidae	Araneae	Arachnida	NON_IND	2.2	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ar250IP	Xysticus	Thomisidae	Araneae	Arachnida	NON_IND	7	0	1	0	0	GetLact 	IngestEDS	1	0	0	Hdsip
Ar260IP	Prinerigone	Linyphiidae	Araneae	Arachnida	NON_IND	2.1	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Co264IP	Anotylus	Staphylinidae	Coleoptera	Insecta	NON_IND	2	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co265IP	Xantholinus	Staphylinidae	Coleoptera	Insecta	NON_IND	7	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co266IH	Chaetocnema	Chrysomelidae	Coleoptera	Insecta	NON_IND	2.01	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co268IS	Carpophilus	Nitidulidae	Coleoptera	Insecta	NON_IND	2.42	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co271IP	Anotylus	Staphylinidae	Coleoptera	Insecta	NON_IND	3.02	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co277IH	Otiorhynchus	Curculionidae	Coleoptera	Insecta	NON_IND	7	1	0	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Ju282IS	Cylindroiulus	Julidae	Julida	Diplopoda	NON_IND	37.44	1	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
He289IH	Uroleucon	Aphididae	Hemiptera	Insecta	NON_IND	0.92	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Co292IS	Aeolus	Elateridae	Coleoptera	Insecta	NON_IND	8	1	0	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co308IS	Stelidota	Nitidulidae	Coleoptera	Insecta	NON_IND	2.17	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Ju309IS	Choneiulus	Blaniulidae	Julida	Diplopoda	NON_IND	10.43	1	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
He320IH	Rhopalosiphum	Aphididae	Hemiptera	Insecta	NON_IND	0.88	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Ar330IP	Meioneta	Linyphiidae	Araneae	Arachnida	NON_IND	1.9	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ar333IP	Ostearius	Linyphiidae	Araneae	Arachnida	NON_IND	2.3	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
He335IH	Rhopalosiphum	Aphididae	Hemiptera	Insecta	NON_IND	1.7	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Sc336IP	Scutigera	Scutigeridae	Scutigeromorpha	Chilopoda	NON_IND	12.64	0	1	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Co342IS	Cercyon	Hydrophilidae	Coleoptera	Insecta	NON_IND	2.22	0	0	0	1	GetHact 	IngestCC	1	1	1	Hdsip
Co344IH	Sitona	Curculionidae	Coleoptera	Insecta	NON_IND	5.79	1	0	0	0	GetHact 	IngestCC	0	0	1	Hdsip
De352IP	Euborellia	Anisolabididae	Dermaptera	Insecta	NON_IND	14.64	1	1	0	1	GetHact 	IngestCC	0	1	0	Ldisp
Th359IH	Aptinothrips	Thripidae	Thysanoptera	Insecta	NON_IND	1.04	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Co363IH	Popillia	Scarabaeidae	Coleoptera	Insecta	NON_IND	11	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co386IH	Sitona	Curculionidae	Coleoptera	Insecta	NON_IND	6	1	0	0	0	GetHact 	IngestCC	0	0	1	Hdsip
Co462IS	Phenolia	Nitidulidae	Coleoptera	Insecta	NON_IND	5.95	1	0	1	0	GetHact 	IngestCC	1	0	0	Hdsip
Ar488IP	Cryptachaea	Theridiidae	Araneae	Arachnida	NON_IND	3	0	1	0	0	GetLact 	IngestEDS	0	1	0	Hdsip
Ar489IP	Tegenaria	Agelenidae	Araneae	Arachnida	NON_IND	7	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
